date|time|description|vendor|amount|category
2023-04-25|00:11:19|GASOLINE|BESTBUY|-613.23|FOOD
2022-05-06|01:05:28|PHONE BILL|APPLE|1026.46|MISCELLANEOUS
2021-03-15|10:35:58|GROCERIES|NETFLIX|257.47|HEALTH & PERSONAL
2024-10-22|15:42:22|SNACKS|BESTBUY|493.47|LIFESTYLE & ENTERTAINMENT
2021-04-10|10:38:19|SUBSCRIPTION|UBER|1463.18|MISCELLANEOUS
2021-11-26|23:27:43|DINNER|CVS|368.78|FOOD
2021-02-06|16:59:14|GIFT|CVS|108.77|HEALTH & PERSONAL
2022-03-06|06:32:19|GROCERIES|WALMART|628.73|MISCELLANEOUS
2022-05-10|10:47:17|SUBSCRIPTION|AMAZON|1377.14|FOOD
2023-06-06|00:28:19|GASOLINE|AMAZON|-903.76|HEALTH & PERSONAL
2024-03-25|13:04:27|LAPTOP|COSTCO|632.52|LIFESTYLE & ENTERTAINMENT
2023-12-17|07:47:29|GYM MEMBERSHIP|TARGET|895.24|HOUSING
2023-03-05|05:56:41|MOVIE|COSTCO|-112.88|HEALTH & PERSONAL
2023-11-15|09:53:36|GASOLINE|CVS|186.65|MISCELLANEOUS
2023-02-21|06:15:38|DINNER|NETFLIX|1185.39|TRANSPORTATION
2021-09-06|09:55:14|DINNER|APPLE|-686.25|TRANSPORTATION
2021-09-02|21:19:09|DINNER|BESTBUY|-1250.39|HOUSING
2024-01-15|07:31:15|PHONE BILL|BESTBUY|1147.29|HOUSING
2024-12-08|20:10:04|PHONE BILL|WALMART|487.36|TRANSPORTATION
2024-05-28|07:41:21|GROCERIES|AMAZON|75.44|LIFESTYLE & ENTERTAINMENT
2023-10-30|19:53:57|PRESCRIPTION|BESTBUY|289.4|MISCELLANEOUS
2021-03-09|14:27:59|SNACKS|BESTBUY|999.5|MISCELLANEOUS
2021-12-28|18:50:51|MOVIE|TARGET|1490.42|LIFESTYLE & ENTERTAINMENT
2023-05-13|23:05:08|MOVIE|APPLE|-958.33|LIFESTYLE & ENTERTAINMENT
2024-06-02|16:35:48|LAPTOP|COSTCO|454.95|LIFESTYLE & ENTERTAINMENT
2024-02-20|16:17:03|GIFT|WALMART|812.91|HOUSING
date|time|description|vendor|amount|category
2021-01-25|13:10:04|INVOICE 182909|LISA|1159.56|MISCELLANEOUS
2023-10-09|07:38:19|INVOICE 473212|MAYA|139.58|MISCELLANEOUS
2021-11-26|20:54:37|INVOICE 952667|LISA|1273.04|MISCELLANEOUS
2022-02-01|11:32:44|INVOICE 556995|LISA|1099.31|MISCELLANEOUS
2021-10-29|00:55:10|GROCERIES|COSTCO|-86.79|FOOD
2024-05-03|07:58:06|RENT PAYMENT|AMAZON|-237.99|HOUSING
2023-01-26|18:08:31|INVOICE 589803|MAYA|643.53|MISCELLANEOUS
2024-09-15|17:27:41|LAPTOP|NETFLIX|-79.61|LIFESTYLE & ENTERTAINMENT
2024-05-01|23:29:56|RENT PAYMENT|CVS|-221.83|HOUSING
2024-04-05|02:45:50|INVOICE 986519|DAVE|1254.54|MISCELLANEOUS
2022-09-16|14:53:31|PRESCRIPTION|BESTBUY|-561.54|HEALTH & PERSONAL
2022-07-16|12:58:58|GROCERIES|AMAZON|-525.27|FOOD
2021-02-10|15:19:10|INVOICE 317016|JOHN|263.71|MISCELLANEOUS
2021-03-20|01:54:27|DINNER|APPLE|-790.98|FOOD
2022-04-26|14:26:42|INVOICE 594742|MAYA|1425.12|MISCELLANEOUS
2021-06-21|19:00:19|INVOICE 677647|BOB|526.52|MISCELLANEOUS
2021-07-22|05:50:12|MOVIE|NETFLIX|-856.79|LIFESTYLE & ENTERTAINMENT
2022-03-18|06:15:17|INVOICE 234519|KEVIN|872.32|MISCELLANEOUS
2023-04-16|02:41:30|INVOICE 247264|ALICE|184.95|MISCELLANEOUS
2023-10-23|08:44:58|SUBSCRIPTION|DOORDASH|-1119.53|LIFESTYLE & ENTERTAINMENT
2022-04-15|06:58:58|INVOICE 596802|ALICE|1056.76|MISCELLANEOUS
2021-10-12|08:44:17|MOVIE|APPLE|-878.32|LIFESTYLE & ENTERTAINMENT
2024-10-14|08:46:57|INVOICE 682298|DAVE|1000.11|MISCELLANEOUS
2022-05-17|09:31:02|LAPTOP|NETFLIX|-1307.67|LIFESTYLE & ENTERTAINMENT
2021-06-25|08:17:42|PHONE BILL|WALMART|-256.21|TRANSPORTATION
2022-04-18|01:46:18|DINNER|TARGET|-872.31|FOOD
2022-08-10|05:31:51|GIFT|COSTCO|-298.4|LIFESTYLE & ENTERTAINMENT
2023-11-20|10:16:40|GROCERIES|TARGET|-1436.31|FOOD
2023-09-03|23:14:03|GROCERIES|TARGET|-518.63|FOOD
2023-01-05|22:37:58|MOVIE|BESTBUY|-1424.44|LIFESTYLE & ENTERTAINMENT
2024-03-29|05:59:06|PRESCRIPTION|AMAZON|-506.71|HEALTH & PERSONAL
2021-10-10|05:21:45|INVOICE 969450|DAVE|31.04|MISCELLANEOUS
2024-01-26|20:46:12|INVOICE 452148|BOB|1422.31|MISCELLANEOUS
2024-03-04|23:13:07|INVOICE 535864|BOB|1077.81|MISCELLANEOUS
2023-08-13|13:17:06|INVOICE 252830|AHMED|485.8|MISCELLANEOUS
2023-05-16|09:20:55|INVOICE 753198|SARA|1079.13|MISCELLANEOUS
2024-05-05|23:46:24|INVOICE 541290|MAYA|329.46|MISCELLANEOUS
2022-08-30|17:53:26|SNACKS|APPLE|-744.82|FOOD
2021-08-23|23:53:14|INVOICE 378254|DAVE|651.82|MISCELLANEOUS
2024-07-28|00:46:15|INVOICE 627858|ALICE|582.97|MISCELLANEOUS
2022-09-24|21:22:14|INVOICE 891886|ALICE|91.32|MISCELLANEOUS
2024-12-19|18:57:04|INVOICE 768531|SARA|1036.49|MISCELLANEOUS
2023-10-18|11:06:09|INVOICE 390159|AHMED|598.69|MISCELLANEOUS
2021-08-27|07:03:02|INVOICE 361040|LISA|707.48|MISCELLANEOUS
2023-01-31|21:41:57|INVOICE 202532|DAVE|973.91|MISCELLANEOUS
2024-11-30|03:41:30|GROCERIES|DOORDASH|-46.6|FOOD
2021-01-19|20:10:53|INVOICE 339056|LISA|1323.43|MISCELLANEOUS
2022-11-24|03:05:39|INVOICE 748310|DAVE|405.46|MISCELLANEOUS
2022-04-08|04:07:53|INVOICE 958376|JOHN|339.2|MISCELLANEOUS
2021-07-05|05:49:12|INVOICE 625961|LISA|401.59|MISCELLANEOUS
2023-04-25|00:11:19|GASOLINE|BESTBUY|-613.23|TRANSPORTATION
2022-05-06|01:05:28|INVOICE 163028|AHMED|1026.46|MISCELLANEOUS
2021-03-15|10:35:58|INVOICE 880424|MAYA|257.47|MISCELLANEOUS
2024-10-22|15:42:22|INVOICE 190394|AHMED|493.47|MISCELLANEOUS
2021-04-10|10:38:19|INVOICE 597282|JOHN|1463.18|MISCELLANEOUS
2021-11-26|23:27:43|INVOICE 646360|KEVIN|368.78|MISCELLANEOUS
2021-02-06|16:59:14|INVOICE 426930|BOB|108.77|MISCELLANEOUS
2022-03-06|06:32:19|INVOICE 449098|DAVE|628.73|MISCELLANEOUS
2022-05-10|10:47:17|INVOICE 183261|MAYA|1377.14|MISCELLANEOUS
2023-06-06|00:28:19|GASOLINE|AMAZON|-903.76|TRANSPORTATION
2024-03-25|13:04:27|INVOICE 698763|DAVE|632.52|MISCELLANEOUS
2023-12-17|07:47:29|INVOICE 498416|DAVE|895.24|MISCELLANEOUS
2023-03-05|05:56:41|MOVIE|COSTCO|-112.88|LIFESTYLE & ENTERTAINMENT
2023-11-15|09:53:36|INVOICE 468272|DAVE|186.65|MISCELLANEOUS
2023-02-21|06:15:38|INVOICE 380947|ALICE|1185.39|MISCELLANEOUS
2021-09-06|09:55:14|DINNER|APPLE|-686.25|FOOD
2021-09-02|21:19:09|DINNER|BESTBUY|-1250.39|FOOD
2024-01-15|07:31:15|INVOICE 301029|BOB|1147.29|MISCELLANEOUS
2024-12-08|20:10:04|INVOICE 374828|MAYA|487.36|MISCELLANEOUS
2024-05-28|07:41:21|INVOICE 354797|ALICE|75.44|MISCELLANEOUS
2023-10-30|19:53:57|INVOICE 554142|BOB|289.4|MISCELLANEOUS
2021-03-09|14:27:59|INVOICE 984121|JOHN|999.5|MISCELLANEOUS
2021-12-28|18:50:51|INVOICE 703422|ALICE|1490.42|MISCELLANEOUS
2023-05-13|23:05:08|MOVIE|APPLE|-958.33|LIFESTYLE & ENTERTAINMENT
2024-06-02|16:35:48|INVOICE 989889|LISA|454.95|MISCELLANEOUS
2024-02-20|16:17:03|INVOICE 885867|KEVIN|812.91|MISCELLANEOUS
2024-06-21|15:29:09|INVOICE 535962|DAVE|195.65|MISCELLANEOUS
2023-02-23|22:36:47|GIFT|TARGET|-1238.22|LIFESTYLE & ENTERTAINMENT
2021-01-26|16:41:05|INVOICE 420267|MAYA|379.78|MISCELLANEOUS
2023-05-20|17:31:00|GIFT|AMAZON|-27.7|LIFESTYLE & ENTERTAINMENT
2022-07-21|18:14:26|INVOICE 484694|KEVIN|102.02|MISCELLANEOUS
2024-03-25|23:20:56|INVOICE 335263|KEVIN|1048.69|MISCELLANEOUS
2024-07-30|12:06:30|GYM MEMBERSHIP|AMAZON|-665.57|HEALTH & PERSONAL
2022-09-10|01:57:06|INVOICE 734608|BOB|169.92|MISCELLANEOUS
2022-10-08|04:04:44|INVOICE 960910|SARA|139.37|MISCELLANEOUS
2022-11-25|04:45:42|INVOICE 865010|SARA|113.17|MISCELLANEOUS
2023-08-06|04:42:14|INVOICE 463198|SARA|1013.28|MISCELLANEOUS
2022-10-05|00:48:31|INVOICE 610228|BOB|1019.7|MISCELLANEOUS
2021-09-30|18:52:14|INVOICE 551779|JOHN|467.37|MISCELLANEOUS
2021-12-15|09:29:48|INVOICE 595766|DAVE|293.66|MISCELLANEOUS
2024-08-05|06:40:51|INVOICE 406502|JOHN|213.81|MISCELLANEOUS
2024-10-08|17:17:17|MOVIE|AMAZON|-1281.12|LIFESTYLE & ENTERTAINMENT
2021-01-30|05:09:14|SNACKS|AMAZON|-1246.8|FOOD
2023-08-03|07:59:29|RENT PAYMENT|COSTCO|-976.82|HOUSING
2023-01-27|08:39:24|INVOICE 794271|DAVE|1381.19|MISCELLANEOUS
2024-10-27|23:27:07|GYM MEMBERSHIP|NETFLIX|-905.2|HEALTH & PERSONAL
2023-07-07|07:47:58|INVOICE 128537|ALICE|78.51|MISCELLANEOUS
2024-06-05|17:09:32|GIFT|UBER|-522.0|LIFESTYLE & ENTERTAINMENT
2023-10-21|04:10:09|SNACKS|APPLE|-840.43|FOOD
2022-08-07|04:47:41|INVOICE 897237|ALICE|1211.92|MISCELLANEOUS
